GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
FGD3,-0.6593962462250804,0.004981675129220186,9.417445247076737,10.076841493301817,0.4429487615021118,down
PNOC,1.6131608898436252,0.00498473788807585,9.74983058430053,8.136669694456906,0.4429487615021118,up
IDUA,-0.5163042678706597,0.004989895363743042,5.722139676623333,6.2384439444939925,0.4429487615021118,down
LAMA3,0.43949725638531856,0.005012629675376822,5.631918878771485,5.192421622386166,0.4429487615021118,up
POPDC3,-1.5147421281926485,0.005012975267056696,3.0426926845980553,4.557434812790704,0.4429487615021118,down
ITFG1,0.39553249485001807,0.005020919018123036,10.151949975148854,9.756417480298836,0.4429487615021118,up
LINC00938,0.5834147099698193,0.0050299166689190475,8.69413027891375,8.110715568943931,0.4429487615021118,up
NLRP8,-1.0110106208399428,0.005062355949709516,3.6291918768859164,4.640202497725859,0.4429487615021118,down
PDLIM2,-0.6939494099194228,0.005095296309488607,7.574953987258631,8.268903397178054,0.4429487615021118,down
MREG,0.832514944762007,0.005096062988248381,7.885116404514513,7.0526014597525055,0.4429487615021118,up
CASC11,1.2256837270840726,0.0051124950008624055,3.8927198216742687,2.667036094590196,0.4429487615021118,up
CXXC5,0.5434840074001688,0.005117165818602606,10.990451133537565,10.446967126137396,0.4429487615021118,up
LINC00593,1.303524073957595,0.005120172530879095,3.775200123316568,2.471676049358973,0.4429487615021118,up
CAV1,1.9192313909260044,0.005128385854064675,8.37538299023047,6.456151599304466,0.4429487615021118,up
DENND5B,1.4765443323547247,0.005147033153429737,8.638368984451203,7.161824652096478,0.4429487615021118,up
DMRTC1B,0.7280211956381484,0.005153566406398316,6.4193184012013145,5.691297205563166,0.4429487615021118,up
STX4,-0.5187255764064727,0.0051572559508882305,7.857440023234142,8.376165599640615,0.4429487615021118,down
SUCLG2-AS1,1.6216056345144305,0.005159071545379593,4.809096132093652,3.1874904975792213,0.4429487615021118,up
C2orf16,1.0827585437483074,0.0051779390540535675,3.6614596848225482,2.578701141074241,0.4429487615021118,up
PDPN,0.8375508808052805,0.005201220780618436,3.5848768033270124,2.747325922521732,0.4429487615021118,up
MAST3,-0.6043060396505426,0.00521837598544756,7.679283345503509,8.283589385154052,0.4429487615021118,down
BHLHA15,1.6790146342781895,0.005237178783639598,8.324838346481668,6.6458237122034785,0.4429487615021118,up
SLAMF8,-1.8990469346428203,0.005260560564628069,5.5964600962159405,7.495507030858761,0.4429487615021118,down
TCEANC,-0.5062033919214342,0.0052734419319258544,5.211324466736674,5.717527858658108,0.4429487615021118,down
SIK2,-0.39358578553382273,0.005363218361244242,6.755107976531969,7.1486937620657915,0.4452575428883876,down
C11orf71,0.5642233619173851,0.0053701101922086,7.753701137774689,7.189477775857304,0.4452575428883876,up
FCGR2B,0.9690010168794982,0.00538527121092553,7.598964734321387,6.629963717441889,0.4452575428883876,up
